,id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
0,0,0.0,No,6.0,4.0,No,15.0,5.0,Extrovert
1,1,1.0,No,7.0,3.0,No,10.0,8.0,Extrovert
2,2,6.0,Yes,1.0,0.0,No,3.0,0.0,Introvert
3,3,3.0,No,7.0,3.0,No,11.0,5.0,Extrovert
4,4,1.0,No,4.0,4.0,No,13.0,5.0,Extrovert
5,5,2.0,No,8.0,5.0,No,8.0,3.0,Extrovert
6,6,1.0,No,8.0,4.0,No,8.0,4.0,Extrovert
7,7,2.0,No,8.0,3.0,No,4.0,5.0,Extrovert
8,8,4.0,Yes,2.0,1.0,No,0.0,2.0,Introvert
9,9,1.0,No,8.0,6.0,No,14.0,9.0,Extrovert
10,10,3.0,No,7.0,4.0,No,5.0,10.0,Extrovert
11,11,2.0,No,6.0,3.0,No,4.0,8.0,Extrovert
12,12,3.0,No,5.0,4.0,No,9.0,6.0,Extrovert
13,13,3.0,No,5.0,5.0,No,12.0,5.0,Extrovert
14,14,3.0,No,6.0,4.0,No,9.0,5.0,Extrovert
15,15,2.0,No,7.0,6.0,No,5.0,8.0,Extrovert
16,16,0.0,No,6.0,4.0,No,8.0,10.0,Extrovert
17,17,5.0,No,0.0,4.0,Yes,2.0,0.0,Introvert
18,18,1.0,No,4.0,4.0,No,11.0,9.0,Extrovert
19,19,1.0,No,5.0,5.0,No,10.0,3.0,Extrovert
20,20,1.0,No,9.0,3.0,No,10.0,7.0,Extrovert
21,21,6.0,Yes,3.0,2.0,Yes,1.0,3.0,Introvert
22,22,4.0,No,0.0,1.0,Yes,2.0,0.0,Introvert
23,23,3.0,No,9.0,7.0,No,6.0,3.0,Extrovert
24,24,1.0,No,5.0,3.0,No,12.0,5.0,Extrovert
25,25,9.0,Yes,1.0,3.0,Yes,7.0,5.0,Introvert
26,26,3.0,No,6.0,5.0,No,10.0,9.0,Extrovert
27,27,9.0,No,0.0,0.0,Yes,1.0,1.0,Introvert
28,28,2.0,No,5.0,4.0,No,5.0,8.0,Extrovert
29,29,2.0,Yes,1.0,0.0,Yes,4.0,0.0,Introvert
30,30,3.0,No,9.0,0.0,No,8.0,5.0,Extrovert
31,31,2.0,No,4.0,4.0,No,11.0,5.0,Extrovert
32,32,1.0,No,9.0,5.0,No,4.0,8.0,Extrovert
33,33,2.0,No,7.0,5.0,No,11.0,9.0,Extrovert
34,34,5.0,Yes,1.0,0.0,No,3.0,2.0,Introvert
35,35,6.0,Yes,2.0,3.0,Yes,1.0,3.0,Introvert
36,36,3.0,No,6.0,3.0,No,7.0,5.0,Extrovert
37,37,2.0,No,7.0,4.0,No,5.0,3.0,Extrovert
38,38,2.0,No,8.0,3.0,No,13.0,6.0,Extrovert
39,39,0.0,No,5.0,4.0,No,11.0,4.0,Extrovert
40,40,0.0,No,8.0,3.0,No,10.0,4.0,Extrovert
41,41,2.0,No,6.0,5.0,No,14.0,3.0,Extrovert
42,42,2.0,No,6.0,6.0,No,5.0,6.0,Extrovert
43,43,0.0,No,9.0,4.0,No,11.0,5.0,Extrovert
44,44,9.0,Yes,1.0,0.0,Yes,3.0,0.0,Introvert
45,45,2.0,No,6.0,4.0,No,11.0,4.0,Extrovert
46,46,2.0,No,7.0,3.0,No,12.0,6.0,Extrovert
47,47,0.0,No,4.0,7.0,No,14.0,3.0,Extrovert
48,48,10.0,Yes,1.0,4.0,Yes,5.0,1.0,Introvert
49,49,2.0,No,9.0,7.0,No,6.0,4.0,Extrovert
50,50,7.0,Yes,5.0,2.0,Yes,5.0,2.0,Introvert
51,51,0.0,No,3.0,6.0,No,5.0,8.0,Extrovert
52,52,0.0,No,7.0,6.0,No,7.0,3.0,Extrovert
53,53,6.0,Yes,3.0,3.0,Yes,5.0,0.0,Introvert
